rank,name,category,followers,country,authentic,avg
16,Jennifer Lopez,MusicCinema & Actors/actresses,253.7M,United States,158.6K,233.4K
212,Vin Diesel,Cinema & Actors/actresses,102.7M,United States,426.7K,534.3K
3,Burak Özdemir,Food & Cooking,54.7M,Turkey,333.8K,424.1K
413,Emily Ratajkowski,Modeling,30.1M,United States,528.3K,730.3K
5,Ye,Lifestyle,19.7M,United States,580.8K,1.1M
681,Hannah Stocking,Modeling,26.4M,United States,585.3K,762.7K
721,VLADIMIR1 & mr ANATOLY,Fitness & Gym,11.7M,Russia,1M,1.3M
833,hakki akdeniz,Business & Careers,32.6M,Turkey,261.9K,429.1K
9,ГУСЕЙН ГАСАНОВ,Shows,28M,Russia,373.6K,519.5K
1083,Otabek Umarov,,31.6M,Russia,278K,428K
11649,Tata Werneck,Cinema & Actors/actressesFamily,57.2M,Brazil,127.4K,191.2K
12,Хабиб Нурмагомедов,Fitness & Gym,36.5M,Russia,169.9K,206.3K
1379,Kashika Kapoor,BeautyLifestyleCinema & Actors/actresses,17.7M,India,179K,414K
142,Leonardo DiCaprio,Cinema & Actors/actresses,62.2M,United States,98.5K,117.7K
151,Джейран Касымова,Family,7M,India,564.1K,1M
16,ARAIK GALSTYAN,Beauty,22.2M,Russia,158.7K,292.2K
1726,Neslihan Atagül Doğulu,Cinema & Actors/actressesModeling,14.2M,Turkey,339.5K,409.3K
18,Erkan Gündüzalp,,8.2M,Russia,374.7K,646.3K
19,irina shayk,Modeling,23.4M,Russia,162K,201.6K
2071,Субо Мамедов,Shows,12.7M,Russia,307.6K,373.8K
21305,Fahriye Evcen Özçivit,LifestyleBeauty,13.8M,Turkey,263.9K,332.5K
2239,Rosie HW,Modeling,19.8M,United States,163.8K,219.2K
23362,Arnold Schwarzenegger,Cinema & Actors/actressesFitness & Gym,26.1M,United States,126.4K,157.7K
24,Rakhim,Shows,6.1M,Russia,413.8K,659.9K
25117,Elton ILIRJANI,Adult content,12.2M,Brazil,126.8K,296.2K
26,Hasbulla Magomedov,Lifestyle,8.4M,Russia,341.8K,411.6K
271549,Conor McGregor Official,Fitness & Gym,47.2M,United States,55.8K,69K
285,Adam Weitsman,Business & Careers,20.2M,United States,92.9K,160.8K
29,Jas Mathur,Business & CareersManagement & Marketing,12M,United States,100.6K,207K
3040,Ирина Пинчук,,5M,Russia,396.8K,498K
31333,Егор Крид,Music,14.6M,Russia,124.8K,142K
32,Брайн Мапс (Макс Тарасенко),,5.9M,Russia,315.2K,345.9K
33988,Abduroziq Official,MusicShows,8.4M,Tajikistan,178.2K,223.2K
344,Islam_Makhachev,Fitness & Gym,8.2M,Russia,187.8K,227.6K
35418,BMW,Cars & Motorbikes,38.3M,United States,38.3K,46.2K
3657,Kristina Kim,LifestyleMusic,8.4M,Kazakhstan,180.3K,207.3K
37161,Liubava  Rose ❤️ 🌹,Nature & landscapesLifestyleTravel,5.9M,India,192.3K,285.9K
38,Nazar Babenko,,13.8M,Ukraine,61.6K,110.1K
3916,UFC,Extreme Sports & Outdoor activityShows,40M,United States,31.8K,37.6K
40,Иван Ургант,ShowsCinema & Actors/actresses,11.9M,Russia,110.2K,124K
41,VICTORIA BONYA,Shows,10.9M,United States,24.7K,118.3K
42482,Giovanna Antonelli,LifestyleBeautyCinema & Actors/actresses,19.8M,Brazil,44.2K,63.2K
43446,Luna,LifestyleAnimals,4.8M,Russia,203.5K,260.1K
44,Khvicha Kvaratskhelia,,3.5M,Italy,300.4K,354.6K
451220,adidas,Clothing & OutfitsFitness & Gym,28.7M,United States,34.3K,42.7K
46170,Ахмед Алиасхабов,Cars & Motorbikes,4.7M,Russia,217.3K,262.4K
47108,CAROLINE MARIA DERPIENSKI,Modeling,8.5M,Russia,36.4K,145.2K
48155,Mercedes-Benz,Cars & MotorbikesLuxury,38.2M,United States,24.9K,30.2K
49,Tia Bajpai,Cinema & Actors/actresses,6.3M,India,107.2K,185.4K
50,Nadin Serovski,FamilyLifestyle,9.4M,Russia,29.8K,123.4K
